Meter Type,Main Meter,,,
Date / End Time,kW Export,kW Import,kVAR Export,kVAR Import
11/06/2025 06:00:00,0,1120,0,290
11/06/2025 06:30:00,0,804,0,187
11/06/2025 07:00:00,0,1169,0,341
11/06/2025 07:30:00,0,1248,0,356
11/06/2025 08:00:00,0,1031,0,263
11/06/2025 08:30:00,0,976,0,276
11/06/2025 09:00:00,0,1002,0,328
11/06/2025 09:30:00,0,967,0,363
11/06/2025 10:00:00,0,856,0,354
11/06/2025 10:30:00,0,848,0,385
11/06/2025 11:00:00,0,945,0,393
11/06/2025 11:30:00,0,1109,0,411
11/06/2025 12:00:00,0,1008,0,376
11/06/2025 12:30:00,0,867,0,391
11/06/2025 13:00:00,0,777,0,319
11/06/2025 13:30:00,0,557,0,208
11/06/2025 14:00:00,0,450,0,258
11/06/2025 14:30:00,0,981,0,416
11/06/2025 15:00:00,0,1274,0,474
11/06/2025 15:30:00,0,1181,0,484
11/06/2025 16:00:00,0,1009,0,451
11/06/2025 16:30:00,0,1176,0,458
11/06/2025 17:00:00,0,1157,0,434
11/06/2025 17:30:00,0,745,0,221
11/06/2025 18:00:00,0,1304,0,449
11/06/2025 18:30:00,0,1483,0,455
11/06/2025 19:00:00,0,1485,0,437
11/06/2025 19:30:00,0,1381,0,391
11/06/2025 20:00:00,0,1075,0,294
11/06/2025 20:30:00,0,1097,0,309
11/06/2025 21:00:00,0,1262,0,378
11/06/2025 21:30:00,0,1247,0,392
11/06/2025 22:00:00,0,1246,0,383
11/06/2025 22:30:00,0,1199,0,373
11/06/2025 23:00:00,0,1244,0,371
11/06/2025 23:30:00,0,1136,0,311
11/07/2025 00:00:00,0,1246,0,377
11/07/2025 00:30:00,0,980,0,233
11/07/2025 01:00:00,0,837,0,188
11/07/2025 01:30:00,0,1014,0,275
11/07/2025 02:00:00,0,1235,0,368
11/07/2025 02:30:00,0,1297,0,404
11/07/2025 03:00:00,0,1366,0,402
11/07/2025 03:30:00,0,1286,0,362
11/07/2025 04:00:00,0,1259,0,395
11/07/2025 04:30:00,0,1361,0,408
11/07/2025 05:00:00,0,1336,0,387
11/07/2025 05:30:00,0,1351,0,401
11/07/2025 06:00:00,0,1257,0,386
11/07/2025 06:30:00,0,761,0,179
11/07/2025 07:00:00,0,1074,0,302
11/07/2025 07:30:00,0,1299,0,381
11/07/2025 08:00:00,0,923,0,256
11/07/2025 08:30:00,0,928,0,285
11/07/2025 09:00:00,0,1105,0,403
11/07/2025 09:30:00,0,1138,0,400
11/07/2025 10:00:00,0,1110,0,462
11/07/2025 10:30:00,0,1023,0,431
11/07/2025 11:00:00,0,1038,0,457
11/07/2025 11:30:00,0,956,0,425
11/07/2025 12:00:00,0,924,0,464
11/07/2025 12:30:00,0,937,0,415
11/07/2025 13:00:00,0,619,0,290
11/07/2025 13:30:00,0,512,0,247
11/07/2025 14:00:00,0,574,0,288
11/07/2025 14:30:00,0,908,0,367
11/07/2025 15:00:00,0,1053,0,428
11/07/2025 15:30:00,0,1038,0,435
11/07/2025 16:00:00,0,1119,0,447
11/07/2025 16:30:00,0,1216,0,464
